Date, Open, High, Low, Close, Volume
12/24/07, 3.63, 3.63, 3.63, 3.63, 5193687.67251597
12/21/07, 3.43, 3.43, 3.43, 3.43, 3815447.01078834
12/20/07, 3.42, 3.42, 3.42, 3.42, 6250124.02407787
12/18/07, 3.42, 3.42, 3.42, 3.42, 1701771.64022423
12/17/07, 3.43, 3.43, 3.43, 3.43, 3209279.09321017
12/14/07, 3.47, 3.47, 3.47, 3.47, 2182368.77010643
12/13/07, 3.44, 3.44, 3.44, 3.44, 6020701.13628578
12/11/07, 3.36, 3.36, 3.36, 3.36, 4827125.31921095
12/10/07, 3.33, 3.33, 3.33, 3.33, 1432420.71394816
12/07/07, 3.32, 3.32, 3.32, 3.32, 2822869.38744228
12/06/07, 3.37, 3.37, 3.37, 3.37, 1611401.55312253
12/05/07, 3.41, 3.41, 3.41, 3.41, 3266669.81519192
12/03/07, 3.26, 3.26, 3.26, 3.26, 1721301.65904792
11/30/07, 3.20, 3.20, 3.20, 3.20, 4005870.52765821
11/29/07, 3.21, 3.21, 3.21, 3.21, 2610955.84985961
11/28/07, 3.20, 3.20, 3.20, 3.20, 3187924.40596114
11/27/07, 3.24, 3.24, 3.24, 3.24, 1911669.17586381
11/26/07, 3.24, 3.24, 3.24, 3.24, 2869153.43205238
11/23/07, 3.26, 3.26, 3.26, 3.26, 6038672.4869405
11/22/07, 3.27, 3.27, 3.27, 3.27, 3379687.25745524
11/21/07, 3.29, 3.29, 3.29, 3.29, 2628703.20029843
11/20/07, 3.28, 3.28, 3.28, 3.28, 1480338.09346587
11/19/07, 3.25, 3.25, 3.25, 3.25, 1520107.46513025
11/16/07, 3.26, 3.26, 3.26, 3.26, 1751728.35504085
11/15/07, 3.27, 3.27, 3.27, 3.27, 1669496.94245014
11/14/07, 3.21, 3.21, 3.21, 3.21, 3583303.45370731
11/13/07, 3.21, 3.21, 3.21, 3.21, 8880082.55891957
11/12/07, 3.25, 3.25, 3.25, 3.25, 1913036.51051502
11/09/07, 3.25, 3.25, 3.25, 3.25, 3244106.46011128
11/08/07, 3.22, 3.22, 3.22, 3.22, 2643015.88076014
11/07/07, 3.25, 3.25, 3.25, 3.25, 1738759.67587453
11/06/07, 3.21, 3.21, 3.21, 3.21, 1826068.42669229
11/05/07, 3.21, 3.21, 3.21, 3.21, 2906505.46805352
11/02/07, 3.21, 3.21, 3.21, 3.21, 9220520.88704538
11/01/07, 3.20, 3.20, 3.20, 3.20, 1960701.88978984
10/31/07, 3.20, 3.20, 3.20, 3.20, 4870394.69424875
10/30/07, 3.24, 3.24, 3.24, 3.24, 5092579.57506461
10/29/07, 3.26, 3.26, 3.26, 3.26, 2224592.81080337
10/26/07, 3.22, 3.22, 3.22, 3.22, 2377636.29164511
10/25/07, 3.22, 3.22, 3.22, 3.22, 2851434.08164055
10/24/07, 3.18, 3.18, 3.18, 3.18, 3400131.94382717
10/23/07, 3.26, 3.26, 3.26, 3.26, 2350228.93189565
10/22/07, 3.32, 3.32, 3.32, 3.32, 3062003.61792782
10/19/07, 3.42, 3.42, 3.42, 3.42, 2690424.5931209
10/18/07, 3.43, 3.43, 3.43, 3.43, 15899703.3246641
10/17/07, 3.43, 3.43, 3.43, 3.43, 9038002.71112828
10/16/07, 3.44, 3.44, 3.44, 3.44, 6385084.15415694
10/15/07, 3.36, 3.36, 3.36, 3.36, 4404702.91206616
10/12/07, 3.19, 3.19, 3.19, 3.19, 6142272.58679373
10/11/07, 3.02, 3.02, 3.02, 3.02, 4306656.15089875
10/09/07, 2.97, 2.97, 2.97, 2.97, 2946484.8399203
10/08/07, 3.06, 3.06, 3.06, 3.06, 3620599.48965448
10/05/07, 3.21, 3.21, 3.21, 3.21, 4086510.60538181
10/04/07, 3.27, 3.27, 3.27, 3.27, 4985712.80539619
10/03/07, 3.49, 3.49, 3.49, 3.49, 11898452.8014588
10/02/07, 3.48, 3.48, 3.48, 3.48, 6074013.18766971
10/01/07, 3.48, 3.48, 3.48, 3.48, 2755211.98889849
09/28/07, 3.48, 3.48, 3.48, 3.48, 6951632.03354801
09/27/07, 3.45, 3.45, 3.45, 3.45, 6787570.54208674
09/26/07, 3.51, 3.51, 3.51, 3.51, 12713706.2538939
09/25/07, 3.58, 3.58, 3.58, 3.58, 8093445.13406554
09/24/07, 3.69, 3.69, 3.69, 3.69, 11615741.1956386
09/21/07, 3.78, 3.78, 3.78, 3.78, 5710180.83699596
09/20/07, 3.77, 3.77, 3.77, 3.77, 17375393.41365
09/19/07, 3.64, 3.64, 3.64, 3.64, 27807760.1353795
09/18/07, 3.62, 3.62, 3.62, 3.62, 8802475.81745294
09/17/07, 3.57, 3.57, 3.57, 3.57, 9878558.85461764
09/14/07, 3.60, 3.60, 3.60, 3.60, 10782791.7261474
09/13/07, 3.65, 3.65, 3.65, 3.65, 15200071.3170021
08/31/07, 3.48, 3.75, 3.35, 3.48, 46032758.3679069